Folder,Image File (add .png in code)
ARC_Cam,ARC Camaro
TC60S,BMW 2002 Turbo
LMDh,BMW M Hybrid V8
Procar,BMW M1 Procar
Group A,BMW M3 Sport Evo Group A
GT3_Gen2,BMW M4 GT3
GT4,BMW M4 GT4
GT3,BMW M6 GT3
GTE,BMW M8 GTE
F-Retro_Gen2,Brabham Alfa Romeo BT46B
F-Retro_Gen3,Brabham BMW BT52
F-Vintage_Gen2,Brabham BT26A
F-Retro_Gen1,Brabham BT44
Hypercars,Brabham BT62
LMDh,Cadillac V-Series.R
Cat620R,Caterham 620R
Cat_Academy,Caterham Academy
Cat_Superlight,Caterham Superlight
Cat_Supersport,Caterham Supersport
GT4,Chevrolet Camaro GT4.R
Street,Chevrolet Camaro SS
TC70S,Chevrolet Corvette C3.R Convertible
Supercars,Chevrolet Corvette C8 Z06 (+Z07 Upgrade)
GTE,Chevrolet Corvette C8.R
Group C,Chevrolet Corvette GTP
OldStock,Chevrolet Opala Old Stock Race
Opala79,Chevrolet Opala Stock Cars 1979
Opala86,Chevrolet Opala Stock Cars 1986
CopaFusca,Copa Fusca
Montana,Copa Montana
F-3,Dallara F309
F-Inter,Formula Inter MG-15
F-Junior,Formula Junior
F-Ultimate_Gen2,Formula Ultimate Gen2
F-USA_2023,Formula USA 2023
F-V10_Gen1,Formula V10 Gen1
F-Vee,Formula Vee
F-Vee,Formula Vee Fin
CopaClassicFL,Fusca Classic FL
GT5,Ginetta G40
GT4,Ginetta G55 GT4
CopaClassicB,Gol Classic B
CopaTruck,Iveco Stralis
Kart125cc,Kart 2-Stroke 125cc Direct
KartShifter,Kart 2-Stroke 125cc Shifter
KartGX390,Kart 4-Stroke Race
KartRental,Kart 4-Stroke Rental
F-USA_Gen3,Lola B2K00 Ford-Cosworth
F-Vintage_Gen2,Lotus 49C
F-Retro_Gen1,Lotus 72E
F-Retro_Gen2,Lotus 79
CopaTruck,MAN TGX
GT4,McLaren 570S GT4
GT3,McLaren 720S GT3
GT3_Gen2,McLaren 720S GT3 Evo
F-Retro_Gen3,McLaren Cosworth MP4_1C
GT1,McLaren F1 GTR
Supercars,McLaren F1 LM
F-Retro_Gen1,McLaren M23
F-V10_Gen1,McLaren Mercedes MP4_12
Hypercars,McLaren Senna
P4,MCR S2000
GT3,Mercedes-AMG GT3
GT4,Mercedes-AMG GT4
Group A,Mercedes-Benz 190E 2.5-16 Evo II DTM
CopaTruck,Mercedes-Benz Actros
GT1,Mercedes-Benz CLK LM
MiniChallenge,MINI Cooper JCW
TC60S2,MINI Cooper S 1965
CopaClassicB,MINI Cooper S 1965 B
LancerCup,Mitsubishi Lancer R
LancerCup,Mitsubishi Lancer RS
GT3,Nissan GT-R Nismo GT3
GT1,Nissan R390 GT1
GT1,Porsche 911 GT1-98
Carrera Cup,Porsche 911 GT3 Cup 3.8
Carrera Cup,Porsche 911 GT3 Cup 4.0
GT3,Porsche 911 GT3 R
GTE,PORSCHE 911 GTE
TC70S,Porsche 911 RSR 1974
Group C,Porsche 962C
LMDh,Porsche 963
GT4,Porsche Cayman GT4 Clubsport MR
GT5,Puma P052
F-USA_Gen3,Reynard 2Ki Ford-Cosworth
F-USA_Gen3,Reynard 2Ki Honda
F-USA_Gen3,Reynard 2Ki Mercedes-Benz
F-USA_Gen3,Reynard 2Ki Toyota
P3,Roco 001
Group C,Sauber Mercedes C9
SprintRace,Sprint Race
SuperV8,SUPER V8
SuperKart,Superkart 250cc
StockCarV8_2024,Toyota Corolla Stock Car 2024
Supercars,Ultima GTR
GTOpen,Ultima GTR Race
CopaTruck,Volkswagen Constellation
TSICup,Volkswagen Polo
TSICup,Volkswagen Polo GTS
TSICup,Volkswagen Virtus
