Track Name,Hyperlink
Adelaide Historic 1988,https://automobilista-2.fandom.com/wiki/Adelaide_Historic_1988
Adelaide,https://automobilista-2.fandom.com/wiki/Adelaide_modern
Adelaide STT,https://automobilista-2.fandom.com/wiki/Adelaide
Ascurra Dirt,https://automobilista-2.fandom.com/wiki/Ascurra_dirt
Ascurra RX,https://automobilista-2.fandom.com/wiki/Ascurra_RX
Azure Circuit,https://automobilista-2.fandom.com/wiki/Azure
Barcelona 1991,https://automobilista-2.fandom.com/wiki/Barcelona_1991
Circuit de Barcelona-Catalunya GP,https://automobilista-2.fandom.com/wiki/Circuit_de_Barcelona_GP
Circuit de Barcelona-Catalunya GP (No Chicane),https://automobilista-2.fandom.com/wiki/Curcuit_de_Barcelona_(no_chicane)
Circuit de Barcelona-Catalunya National,https://automobilista-2.fandom.com/wiki/Barcelona_National
Circuit de Barcelona-Catalunya RX,https://automobilista-2.fandom.com/wiki/Curcuit_de_Barcelona_RX
Bathurst 1983,https://automobilista-2.fandom.com/wiki/Bathurst_1983
Bathurst 2020,https://automobilista-2.fandom.com/wiki/Bathurst_2020
Brands Hatch GP,https://automobilista-2.fandom.com/wiki/Brands_Hatch
Brands Hatch Indy,https://automobilista-2.fandom.com/wiki/Brands_Hatch_Indy
Brasilia Full,https://automobilista-2.fandom.com/wiki/Brasilia_full
Brasilia Outer,https://automobilista-2.fandom.com/wiki/Brasilia_Outer
Buenos Aires Circuito No.12,https://automobilista-2.fandom.com/wiki/Buenos_Aires_12
Buenos Aires Circuito No.15,https://automobilista-2.fandom.com/wiki/Buenos_Aires_15
Buenos Aires Circuito No.6,https://automobilista-2.fandom.com/wiki/Buenos_Aires_6
Buenos Aires Circuito No.6S,https://automobilista-2.fandom.com/wiki/Buenos_Aires_6T
Buenos Aires Circuito No.7,https://automobilista-2.fandom.com/wiki/Buenos_Aires_7
Buenos Aires Circuito No.8,https://automobilista-2.fandom.com/wiki/Buenos_Aires_8
Buenos Aires Circuito No.9,https://automobilista-2.fandom.com/wiki/Buenos_Aires_9
Buskerud Kart Long,https://automobilista-2.fandom.com/wiki/Buskerud_Long
Buskerud Kart,https://automobilista-2.fandom.com/wiki/Buskerud_Short
Cadwell Park,https://automobilista-2.fandom.com/wiki/Cadwell_Park
Campo Grande,https://automobilista-2.fandom.com/wiki/Campo_Grande
Cascavel,https://automobilista-2.fandom.com/wiki/Casceval
Cleveland GP,https://automobilista-2.fandom.com/wiki/Cleveland_GP
Cleveland STT,https://automobilista-2.fandom.com/wiki/Cleveland_STT
Córdoba TC,https://automobilista-2.fandom.com/wiki/C%C3%B3rdoba_TC
Córdoba No.4,https://automobilista-2.fandom.com/wiki/C%C3%B3rdoba_No.4
Córdoba No.2,https://automobilista-2.fandom.com/wiki/C%C3%B3rdoba_No.2
Curitiba,https://automobilista-2.fandom.com/wiki/Curitiba
Curitiba Outer,https://automobilista-2.fandom.com/wiki/Curitiba_Outer
Curvelo Long,https://automobilista-2.fandom.com/wiki/Curvelo_Long
Curvelo Short,https://automobilista-2.fandom.com/wiki/Curvelo_Short
Daytona Nascar Tri-Oval,https://automobilista-2.fandom.com/wiki/Daytona_Nascar_Tri-Oval
Daytona Sports Car Course,https://automobilista-2.fandom.com/wiki/Daytona_Sports_Car_Course
Daytona Nascar Road Course,https://automobilista-2.fandom.com/wiki/Daytona_Nascar_Road_Course
Donington GP,https://automobilista-2.fandom.com/wiki/Donington_GP
Donington National,https://automobilista-2.fandom.com/wiki/Donington_National
Cascais Historic 1988,https://automobilista-2.fandom.com/wiki/Cascais_Historic_1988
Cascais,https://automobilista-2.fandom.com/wiki/Cascais
Cascais Alternate,https://automobilista-2.fandom.com/wiki/Cascais_Alternate
Auto Club Speedway Oval,https://automobilista-2.fandom.com/wiki/Auto_Club_Speedway_Oval
Auto Club Speedway Sports Car Course,https://automobilista-2.fandom.com/wiki/Auto_Club_Speedway_Sports_Car_Course
Foz,https://automobilista-2.fandom.com/wiki/Foz
Galeao Airport,https://automobilista-2.fandom.com/wiki/Galeao_Airport
WWT Raceway Oval,https://automobilista-2.fandom.com/wiki/WWT_Raceway_Oval
WWT Raceway Road Course (Short),https://automobilista-2.fandom.com/wiki/WWT_Raceway_Road_Course_(Short)
WWT Raceway Road Course (Long),https://automobilista-2.fandom.com/wiki/WWT_Raceway_Road_Course_(Long)
Goiânia,https://automobilista-2.fandom.com/wiki/Goi%C3%A2nia
Goiânia External,https://automobilista-2.fandom.com/wiki/Goi%C3%A2nia_External
Goiânia Short,https://automobilista-2.fandom.com/wiki/Goi%C3%A2nia_Short
Copa São Paulo Stage 1,https://automobilista-2.fandom.com/wiki/Copa_S%C3%A3o_Paulo_Stage_1
Copa São Paulo Kart Stage 2,https://automobilista-2.fandom.com/wiki/Copa_S%C3%A3o_Paulo_Kart_Stage_2
Granja Viana Kart 101,https://automobilista-2.fandom.com/wiki/Granja_Viana_Kart_101
Granja Viana Kart 102,https://automobilista-2.fandom.com/wiki/Granja_Viana_Kart_102
Granja Viana Kart 121,https://automobilista-2.fandom.com/wiki/Granja_Viana_Kart_121
Guaporé,https://automobilista-2.fandom.com/wiki/Guapore
Guaporé STT,https://automobilista-2.fandom.com/wiki/Guapore_STT
Hockenheim Historic 1977,https://automobilista-2.fandom.com/wiki/Hockenheim_1977
Hockenheim Historic 1988,https://automobilista-2.fandom.com/wiki/Hockenheim_1988
Hockenheim Historic 1988 Short,https://automobilista-2.fandom.com/wiki/Hockenheim_1988_short
Hockenheim Historic 2001,https://automobilista-2.fandom.com/wiki/Hockenheim_2001
Hockenheim,https://automobilista-2.fandom.com/wiki/Hockenheim_gp
Hockenheim National,https://automobilista-2.fandom.com/wiki/Hockenheim_national
Hockenheim RX,https://automobilista-2.fandom.com/wiki/Hockenheim_RX
Hockenheim Short A,https://automobilista-2.fandom.com/wiki/Hockenheim_short_A
Hockenheim STT,https://automobilista-2.fandom.com/wiki/Hockenheim_STT
Hockenheim Short B,https://automobilista-2.fandom.com/wiki/Hockenheim_short_b
Autódromo Yahuarcocha,https://automobilista-2.fandom.com/wiki/Ibarra
Autódromo Yahuarcocha Reverse,https://automobilista-2.fandom.com/wiki/Ibarra_reverse
Autódromo Yahuarcocha STT,https://automobilista-2.fandom.com/wiki/Aut%C3%B3dromo_Yahuarcocha_STT
Imola,https://automobilista-2.fandom.com/wiki/Imola_GP
Imola Historic 2001,https://automobilista-2.fandom.com/wiki/Imola_GP_2001
Imola Historic 1972,https://automobilista-2.fandom.com/wiki/Imola_GP_1972
Imola Historic 1988,https://automobilista-2.fandom.com/wiki/Imola_1988
Indianapolis Motor Speedway Oval,https://automobilista-2.fandom.com/wiki/Indianapolis_oval
Indianapolis Motor Speedway Road Course,https://automobilista-2.fandom.com/wiki/Indianapolis_road_course
Interlagos GP,https://automobilista-2.fandom.com/wiki/Interlagos_GP
Interlagos Kart One,https://automobilista-2.fandom.com/wiki/Interlagos_kart_11
Interlagos Kart Two,https://automobilista-2.fandom.com/wiki/Interlagos_Kart_2
Interlagos Kart Three,https://automobilista-2.fandom.com/wiki/Interlagos_Kart_3
Interlagos 1991,https://automobilista-2.fandom.com/wiki/Interlagos_1991
