Country,Track,Layout Name in Game
Argentina,Termas de Río Hondo,Termas de Río Hondo
Austria,Spielberg,Spielberg
Austria,Spielberg,Spielberg Short
Belgium,Spa-Francorchamps,Spa-Francorchamps 2022
Belgium,Spa-Francorchamps,Spa-Francorchamps Historic 1970 1000km
Brazil,Interlagos,Interlagos GP
Canada,Montreal,Montreal
Canada,Mosport,Mosport
England,Brands Hatch,Brands Hatch
England,Brands Hatch,Brands Hatch Indy
England,Cadwell Park,Cadwell Park
England,Donington Park,Donington GP
England,Donington Park,Donington National
England,Oulton Park,Oulton Park Classic
England,Oulton Park,Oulton Park Fosters
England,Oulton Park,Oulton Park International
England,Oulton Park,Oulton Park Island
England,Silverstone,Silverstone
England,Silverstone,Silverstone International
England,Silverstone,Silverstone National
England,Snetterton,Snetterton 100
England,Snetterton,Snetterton 200
England,Snetterton,Snetterton 300
France,Le Mans,Circuit des 24 Heures du Mans
France,Le Mans,Le Mans Circuit Bugatti
Germany,Hockenheimring,Grand Prix
Germany,Hockenheimring,National
Germany,Nürburgring,Nordschleife 2020
Germany,Nürburgring,Nordschleife 24 Hour 2020
Germany,Nürburgring,Nürburgring GP 2020
Germany,Nürburgring,Nürburgring Sprint 2020
Germany,Nürburgring,Nürburgring Sprint S 2020
Germany,Nürburgring,Nürburgring Veedol 2020
Italy,Imola,Imola
Italy,Monza,Monza
Italy,Monza,Monza Junior
Japan,Kansai,Kansai East
Japan,Kansai,Kansai GP
Japan,Kansai,Kansai West
Monaco,Azure Circuit,Azure Circuit
Portugal,Cascais,Cascais_GP
Spain,Barcelona,Circuit de Barcelona-Catalunya GP (no chicane)
Spain,Barcelona,Circuit de Barcelona-Catalunya Historic 1991
Spain,Barcelona,Circuit de Barcelona-Catalunya National
Spain,Barcelona,Grand Prix
Spain,Jerez,Chicane
USA,Cleveland,Cleveland GP
USA,Daytona,Daytona Nascar Road Course
USA,Daytona,Daytona Nascar Tri-Oval
USA,Daytona,Daytona Sports Car Course
USA,Indianapolis,Indianapolis Motor Speedway Road Course
USA,Laguna Seca,Laguna Seca 2020
USA,Long Beach,Long Beach
USA,Road America,Road America
USA,Road Atlanta,Road Atlanta
USA,Sebring,Sebring
USA,Sebring,Sebring Club
USA,Sebring,Sebring School
USA,Virginia,VIRginia International Raceway Full
USA,Virginia,VIRginia International Raceway Grand
USA,Virginia,VIRginia International Raceway North
USA,Virginia,VIRginia International Raceway Patriot
USA,Virginia,VIRginia International Raceway South
USA,Watkins Glen,Watkins Glen GP
USA,Watkins Glen,Watkins Glen GP (Inner Loop)
USA,Watkins Glen,Watkins Glen Short
USA,Watkins Glen,Watkins Glen Short (Inner Loop)
